shared name	Human Readable Label	Xref ID	Xref
P30046	DDT	ENST00000350608|ENST00000398344|GO:0070062|4Q3F|ENSP00000215773|ENSP00000381386|ENSG00000275003|ENSP00000399768|ENSP00000481175|ENST00000430101|ENST00000615721|GO:0005737|GO:0033981|GO:0004167|GO:0042438|NP_001077861.1|NP_001346.1|ENSG00000099977|IPR001398|IPR019829|IPR014347|1DPT|3KAN|ENSP00000486384|ENSP00000486829|ENST00000626871|ENST00000629401	extracellular exosome|cytoplasm|D-dopachrome decarboxylase activity|dopachrome isomerase activity|melanin biosynthetic process|Macrophage migration inhibitory factor|Tautomerase
P13797	PLS3	XP_011535836.1|GO:0005884|GO:0032432|GO:0051015|GO:0051017|GO:0051639|GO:0051764|GO:0005829|GO:0005886|ENST00000355899|ENSP00000445339|ENST00000539310|ENSG00000102024|ENSP00000348163|NP_001165806.1|NP_001269266.1|NP_001269267.1|ENSP00000289290|ENST00000289290|GO:0060348|GO:0005737|GO:0005509|NP_001129497.1|NP_005023.2|IPR001589|IPR001715|IPR011992|IPR018247|IPR002048|1AOA|1WJO	actin filament|actin filament bundle|actin filament binding|actin filament bundle assembly|actin filament network formation|actin crosslink formation|cytosol|plasma membrane|bone development|cytoplasm|calcium ion binding|Actinin-type, actin-binding, conserved site|Calponin-like actin-binding|EF-Hand type|Calcium-binding EF-hand
Q9H6Z9	EGLN3	GO:0006974|GO:0016706|GO:0005654|GO:0005829|GO:0061418|GO:0006915|GO:0001666|GO:0005634|GO:0005737|ENST00000250457|R-HSA-1234176|GO:0005506|GO:0031418|NP_071356.1|IPR005123|IPR006620|NP_001295032.1|ENSG00000129521|ENSP00000250457|GO:0018401|GO:0031545|GO:0006919|GO:0018126|GO:0042127|GO:0043523|112399	cellular response to DNA damage stimulus|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors|nucleoplasm|cytosol|regulation of transcription from RNA polymerase II promoter in response to hypoxia|apoptotic process|response to hypoxia|nucleus|cytoplasm|iron ion binding|L-ascorbic acid binding|2OG-F|Prolyl 4-hydroxylase, alpha subunit|peptidyl-proline hydroxylation to 4-hydroxy-L-proline|peptidyl-proline 4-dioxygenase activity|activation of cysteine-type endopeptidase activity involved in apoptotic process|protein hydroxylation|regulation of cell proliferation|regulation of neuron apoptotic process|identity
Q5S007	LRRK2	GO:0015631|IPR027417|GO:0005622|GO:0005902|GO:0016242|GO:0016310|GO:0035751|GO:0044753|GO:0044754|GO:0097487|GO:1902902|GO:1990909|GO:1901215|GO:1902236|GO:0030426|IPR032171|GO:0005798|GO:0030159|GO:0090263|GO:0008017|GO:0039706|GO:0060070|GO:0060828|GO:0098794|GO:1904713|GO:1904887|IPR025875|R-HSA-8857538|GO:0099400|GO:1905279|GO:1905289|GO:0009267|GO:0010506|IPR032675|GO:0046039|GO:0090394|GO:0000149|GO:0001948|GO:0003779|GO:0017075|GO:0030276|GO:1902803|GO:0030424|GO:0000165|GO:0000187|GO:0001934|GO:0004672|GO:0004674|GO:0005737|GO:0005739|GO:0005829|GO:0014041|GO:0017048|GO:0021772|GO:0031966|GO:0042802|GO:0042803|GO:0043005|GO:0044325|GO:0061001|GO:1902692|GO:2000172|GO:0007030|GO:0007040|GO:0019722|GO:0030529|GO:0032091|GO:0051900|GO:1901214|GO:1902823|GO:2000300|ENST00000298910|GO:0016234|GO:0051018|GO:0005634|GO:0043231|GO:0032473|GO:0005524|GO:0005525|GO:0034211|GO:0005096|GO:0004708|GO:0000186|GO:0008340|GO:0035640|GO:0048312|GO:0007528|GO:0070997|GO:0018105|GO:0010508|GO:0060161|GO:0043068|GO:0032436|GO:0031398|GO:0046777|GO:0035564|GO:0040012|GO:0042391|GO:0006979|GO:0007264|GO:0022028|NP_940980.3|IPR020683|IPR011989|IPR016024|IPR011009|IPR001611|IPR003591|IPR013684|IPR000719|IPR017441|IPR020859|IPR008271|IPR005225|IPR015943|2ZEJ|3D6T|GO:0030672|GO:0051646|GO:0030054|GO:0007005|ENSG00000188906|ENSP00000298910|GO:0005741|GO:0005743|GO:0005759|GO:0005764|GO:0005768|GO:0005783|GO:0005794|GO:0016301|GO:0030425|GO:0031410|GO:0043204|GO:0048812|GO:1903125|GO:0070585|GO:0090140|GO:0001933|GO:0006468|GO:0006897|GO:0010738|GO:0010955|GO:0032092|GO:0034599|GO:0034613|GO:0035556|GO:0035641|GO:0036479|GO:0043195|GO:0043406|GO:0051966|GO:0060079|GO:0060159|GO:0071287|GO:0072593|GO:1902499|GO:1903206|GO:1903215|GO:1903217|GO:1903351|GO:0005802|GO:0005886|GO:0006914|IPR017986|GO:0032839|GO:0034260|GO:0070062|GO:0005615|GO:0018107|GO:0043025|GO:0003924|Q5S007	tubulin binding|intracellular|microvillus|negative regulation of macroautophagy|phosphorylation|regulation of lysosomal lumen pH|amphisome|autolysosome|multivesicular body, internal vesicle|negative regulation of autophagosome assembly|Wnt signalosome|negative regulation of neuron death|negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway|growth cone|Golgi-associated vesicle|receptor signaling complex scaffold activity|positive regulation of canonical Wnt signaling pathway|microtubule binding|co-receptor binding|canonical Wnt signaling pathway|regulation of canonical Wnt signaling pathway|postsynapse|beta-catenin destruction complex binding|Wnt signalosome assembly|caveola neck|regulation of retrograde transport, endosome to Golgi|regulation of CAMKK-AMPK signaling cascade|cellular response to starvation|regulation of autophagy|GTP metabolic process|negative regulation of excitatory postsynaptic potential|SNARE binding|glycoprotein binding|actin binding|syntaxin-1 binding|clathrin binding|regulation of synaptic vesicle transport|axon|MAPK cascade|activation of MAPK activity|positive regulation of protein phosphorylation|protein kinase activity|protein serine/threonine kinase activity|cytoplasm|mitochondrion|cytosol|regulation of neuron maturation|Rho GTPase binding|olfactory bulb development|mitochondrial membrane|identical protein binding|protein homodimerization activity|neuron projection|ion channel binding|regulation of dendritic spine morphogenesis|regulation of neuroblast proliferation|regulation of branching morphogenesis of a nerve|Golgi organization|lysosome organization|calcium-mediated signaling|intracellular ribonucleoprotein complex|negative regulation of protein binding|regulation of mitochondrial depolarization|regulation of neuron death|negative regulation of late endosome to lysosome transport|regulation of synaptic vesicle exocytosis|inclusion body|protein kinase A binding|nucleus|intracellular membrane-bounded organelle|cytoplasmic side of mitochondrial outer membrane|ATP binding|GTP binding|GTP-dependent protein kinase activity|GTPase activator activity|MAP kinase kinase activity|activation of MAPKK activity|determination of adult lifespan|exploration behavior|intracellular distribution of mitochondria|neuromuscular junction development|neuron death|peptidyl-serine phosphorylation|positive regulation of autophagy|positive regulation of dopamine receptor signaling pathway|positive regulation of programmed cell death|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|positive regulation of protein ubiquitination|protein autophosphorylation|regulation of kidney size|regulation of locomotion|regulation of membrane potential|response to oxidative stress|small GTPase mediated signal transduction|tangential migration from the subventricular zone to the olfactory bulb|Armadillo-like helical|Armadillo-type fold|Protein kinase-like|Leucine-rich repeat|Leucine-rich repeat, typical subtype|Miro-like|Protein kinase, core|Protein kinase ATP binding, conserved site|Serine/threonine protein kinase, active site|Small GTP-binding protein|WD40/YVTN repeat-like|synaptic vesicle membrane|mitochondrion localization|cell junction|mitochondrion organization|mitochondrial outer membrane|mitochondrial inner membrane|mitochondrial matrix|lysosome|endosome|endoplasmic reticulum|Golgi apparatus|kinase activity|dendrite|cytoplasmic vesicle|perikaryon|neuron projection morphogenesis|negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation|protein localization to mitochondrion|regulation of mitochondrial fission|negative regulation of protein phosphorylation|protein phosphorylation|endocytosis|regulation of protein kinase A signaling|negative regulation of protein processing|positive regulation of protein binding|cellular response to oxidative stress|cellular protein localization|intracellular signal transduction|locomotory exploration behavior|peroxidase inhibitor activity|terminal bouton|positive regulation of MAP kinase activity|regulation of synaptic transmission, glutamatergic|excitatory postsynaptic potential|regulation of dopamine receptor signaling pathway|cellular response to manganese ion|reactive oxygen species metabolic process|positive regulation of protein autoubiquitination|negative regulation of hydrogen peroxide-induced cell death|negative regulation of protein targeting to mitochondrion|negative regulation of protein processing involved in protein targeting to mitochondrion|cellular response to dopamine|trans-Golgi network|plasma membrane|autophagy|dendrite cytoplasm|negative regulation of GTPase activity|extracellular exosome|extracellular space|peptidyl-threonine phosphorylation|neuronal cell body|GTPase activity|identity
Q00796	SORD	1PL7|1PL8|GO:0031966|R-HSA-5652227|GO:0019640|GO:0046526|R-HSA-5661270|GO:0006970|GO:0009725|GO:0031667|GO:0042493|GO:0046686|GO:0046688|GO:0042802|GO:0051164|ENST00000267814|ENSG00000140263|ENSP00000267814|GO:0070062|GO:0005829|GO:0030246|GO:0016020|IPR020843|ENSP00000453904|ENST00000558789|GO:0005615|GO:0003939|GO:0051287|GO:0008270|GO:0046370|GO:0006006|GO:0051160|GO:0006062|GO:0030317|NP_003095.2|IPR013149|IPR013154|IPR002328|IPR011032|IPR016040|1PL6|GO:0031514|6652	mitochondrial membrane|glucuronate catabolic process to xylulose 5-phosphate|D-xylulose reductase activity|response to osmotic stress|response to hormone|response to nutrient levels|response to drug|response to cadmium ion|response to copper ion|identical protein binding|L-xylitol metabolic process|extracellular exosome|cytosol|carbohydrate binding|membrane|extracellular space|L-iditol 2-dehydrogenase activity|NAD binding|zinc ion binding|fructose biosynthetic process|glucose metabolic process|L-xylitol catabolic process|sorbitol catabolic process|flagellated sperm motility|Alcohol dehydrogenase, zinc-binding|Alcohol dehydrogenase GroES-like|Alcohol dehydrogenase, zinc-containing, conserved site|GroES-like|NA|motile cilium|identity
O75608	LYPLA1	5SYM|R-HSA-203615|GO:0002084|GO:0042997|IPR029058|ENST00000316963|ENST00000343231|GO:0070062|ENSG00000120992|ENSP00000320043|ENSP00000344477|GO:0005737|GO:0005739|GO:0005829|GO:0004622|GO:0008474|GO:0006631|GO:0050999|NP_006321.1|IPR003140|1FJ2|NP_001266288.1|NP_001266289.1|GO:0016298|NP_001266285.1|NP_001266286.1|NP_001266287.1	protein depalmitoylation|negative regulation of Golgi to plasma membrane protein transport|extracellular exosome|cytoplasm|mitochondrion|cytosol|lysophospholipase activity|palmitoyl|fatty acid metabolic process|regulation of nitric-oxide synthase activity|Phospholipase/carboxylesterase|lipase activity
P60900	PSMA6	GO:0000932|5T0C|5T0G|5T0H|5T0I|5T0J|R-HSA-1234176|5GJQ|5GJR|5L4G|5LE5|5LEX|5LEY|5LEZ|5LF0|5LF1|5LF3|5LF4|5LF6|5LF7|R-HSA-382556|R-HSA-5678895|R-HSA-5689603|R-HSA-5689880|GO:0090090|GO:0090263|R-HSA-1169091|R-HSA-1236974|R-HSA-1236978|R-HSA-174084|R-HSA-174113|R-HSA-174154|R-HSA-174178|R-HSA-174184|R-HSA-180534|R-HSA-180585|R-HSA-187577|R-HSA-195253|R-HSA-211733|R-HSA-2467813|R-HSA-2871837|R-HSA-349425|R-HSA-350562|R-HSA-450408|R-HSA-4608870|R-HSA-4641257|R-HSA-4641258|R-HSA-5358346|R-HSA-5362768|R-HSA-5607761|R-HSA-5607764|R-HSA-5610780|R-HSA-5610783|R-HSA-5610785|R-HSA-5632684|R-HSA-5658442|R-HSA-5668541|R-HSA-5676590|R-HSA-5687128|R-HSA-68827|R-HSA-68949|R-HSA-69017|R-HSA-69229|R-HSA-69601|R-HSA-983168|R-HSA-8854050|XP_016876957.1|GO:0043488|GO:0050852|R-HSA-202424|5A0Q|GO:0010972|GO:0016579|GO:0031146|GO:0055085|GO:0061418|NP_001269161.1|GO:0000165|GO:0033209|GO:0038061|GO:0038095|GO:0005634|GO:0005839|GO:0030016|GO:0051059|GO:0051603|GO:0000502|ENSP00000479620|ENST00000622405|ENSG00000100902|ENSP00000261479|ENSP00000444844|ENSP00000452566|GO:0070062|GO:0002479|GO:0002223|4R3O|4R67|GO:0004175|GO:0043161|GO:0060071|R-HSA-69481|R-HSA-8852276|GO:0005829|GO:0016363|GO:0005654|GO:0005844|GO:0019773|GO:0030017|GO:0035639|GO:0003723|GO:0004298|GO:0051436|GO:0031145|GO:0051092|GO:0051437|GO:0000209|GO:0006521|GO:0050727|NP_002782.1|IPR000426|IPR023332|IPR001353|IPR029055|ENST00000261479|ENST00000540871|ENST00000555764|NP_001269162.1|NP_001269163.1	P-body|negative regulation of canonical Wnt signaling pathway|positive regulation of canonical Wnt signaling pathway|regulation of mRNA stability|T cell receptor signaling pathway|negative regulation of G2/M transition of mitotic cell cycle|protein deubiquitination|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|transmembrane transport|regulation of transcription from RNA polymerase II promoter in response to hypoxia|MAPK cascade|tumor necrosis factor-mediated signaling pathway|NIK/NF-kappaB signaling|Fc-epsilon receptor signaling pathway|nucleus|proteasome core complex|myofibril|NF-kappaB binding|proteolysis involved in cellular protein catabolic process|proteasome complex|extracellular exosome|antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent|stimulatory C-type lectin receptor signaling pathway|endopeptidase activity|proteasome-mediated ubiquitin-dependent protein catabolic process|Wnt signaling pathway, planar cell polarity pathway|cytosol|nuclear matrix|nucleoplasm|polysome|proteasome core complex, alpha-subunit complex|sarcomere|purine ribonucleoside triphosphate binding|RNA binding|threonine-type endopeptidase activity|negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle|anaphase-promoting complex-dependent catabolic process|positive regulation of NF-kappaB transcription factor activity|positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition|protein polyubiquitination|regulation of cellular amino acid metabolic process|regulation of inflammatory response|Proteasome alpha-subunit, conserved site|20S proteasome, A and B subunits
Q9NYL4	FKBP11	GO:0016021|GO:0005528|GO:0003755|NP_001137253.1|NP_057678.1|IPR023566|IPR001179|GO:0005737|ENST00000453172|ENST00000550765|GO:0061077|ENSG00000134285|ENSP00000396874|ENSP00000449751|GO:0016020|NP_001137254.1|51303	integral component of membrane|FK506 binding|peptidyl-prolyl cis-trans isomerase activity|Peptidyl-prolyl cis-trans isomerase, FKBP-type|cytoplasm|chaperone-mediated protein folding|membrane|identity
Q99417	MYCBP	ENST00000397572|ENSG00000214114|ENSP00000380702|GO:0006355|IPR026060|GO:0005829|GO:0005737|GO:0005739|GO:0005634|GO:0003713|GO:0007283|GO:0006351|NP_036465.2|2YY0|ENSP00000362084	regulation of transcription, DNA-templated|cytosol|cytoplasm|mitochondrion|nucleus|transcription coactivator activity|spermatogenesis|transcription, DNA-templated|identity
Q8N1L9	BATF2	GO:0006351|GO:0042832|GO:0043011|GO:0003700|GO:0006357|GO:0043565|ENST00000301887|ENST00000435842|ENSG00000168062|ENSP00000301887|ENSP00000398911|NP_001287736.1|NP_001287737.1|IPR000837|IPR029857|GO:0005634|NP_612465.3|IPR004827|116071	transcription, DNA-templated|defense response to protozoan|myeloid dendritic cell differentiation|transcription factor activity, sequence-specific DNA binding|regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding|Fos transforming protein|nucleus|Basic-leucine zipper|identity
